ID,Barcode,Nombre,UsageType (Masculino/Femenino/Universal),TargetAnatomy (Prostata/Clitoris/Vaginal/Anal/Universal),StimulationType (Vibracion/Succion/Empuje/Calentamiento/Interactivo),MotorLogic (Single Channel/Dual Channel),DB_Id,RealTitle,Pics,CateId,Qrcode,SupportedFuncs,Wireless,FactoryId,IsEncrypt,IsPrecise,BroadcastPrefix,BleName
8104,8104,AATD616,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240807/20240807103904768.png,3,https://image.zlmicro.com/images/product/qrcode/8104.png,classic|music|shake|intera|finger|video|game|explore,2.4G,48,No,0-255,77 62 4d 53 45,
8095,8095,ZAHT095,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250403/20250403161404187.png,4,https://image.zlmicro.com/images/product/20250403/202504031614175868095.png,classic|music|shake|intera|finger|video|game,2.4G,22,No,0-255,77 62 4d 53 45,
8099,8099,AAFJ102,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20241206/20241206162818125.png,1,https://image.zlmicro.com/images/product/qrcode/8099.png,classic|music|shake|intera|finger|voice|video|game|explore,2.4G,116,No,0-255,77 62 4d 53 45,
8101,8101,ZAGS013,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240111/20240111161022392.png,13,https://image.zlmicro.com/images/product/qrcode/8101.png,classic|music|shake|intera|finger|video|game|explore,2.4G,118,No,0-255,77 62 4d 53 45,
8100,8100,AASJ267,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250626/20250626102454180.png,10,https://image.zlmicro.com/images/product/20250626/202506261025022518100.png,classic|music|shake|intera|finger|video|game,2.4G,362,No,0-255,77 62 4d 53 45,
8089,8089,AATD069,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,艾余CL1910,https://image.zlmicro.com/images/product/20211014/20211014113241303.png,3,https://image.zlmicro.com/images/product/qrcode/8089.png,classic|music|intera|finger|video|game|explore,2.4G,50,No,0-255,77 62 4b 96 65,
8093,8093,AAFJ098,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20241121/20241121143314998.png,1,https://image.zlmicro.com/images/product/qrcode/8093.png,classic|music|shake|intera|finger|voice|video|game|explore,2.4G,30,No,0-255,77 62 4d 53 45,
8107,8107,AAZD023,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230311/20230311095510137.png,2,https://image.zlmicro.com/images/product/qrcode/8107.png,classic|music|shake|intera|finger|video|game|explore,2.4G,177,No,0-255,77 62 4d 53 45,
8088,8088,MAFJ001,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,S5玫瑰花,https://image.zlmicro.com/images/product/20220304/20220304143428741.png,1,https://image.zlmicro.com/images/product/qrcode/8088.png,classic|music|shake|intera|finger|video|game|explore,BLE,0,No,Estándar,77 62 4d 53 45,
8097,8097,ZAGS024,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20241210/20241210094448475.jpg,13,https://image.zlmicro.com/images/product/qrcode/8097.png,classic|music|shake|intera|finger|video|game|explore,2.4G,32,No,0-255,77 62 4d 53 45,
8109,8109,谦度TD001,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20260202/20260202173859650.jpg,3,https://zlmicro.oss-cn-shenzhen.aliyuncs.com/images/qrcode/8109.png,classic|music|shake|intera|finger|video|game,2.4G,0,No,0-255,77 62 4d 53 45,
8111,8111,AAPJ008,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20251222/20251222094659715.png,9,https://image.zlmicro.com/images/product/20251222/202512220948003008111.png,classic|music|shake|intera|finger|video|game,2.4G,227,No,0-255,77 62 4d 53 45,
8110,8110,MAHT002,Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA),0,R3,https://image.zlmicro.com/images/product/20230608/20230608145117967.png,4,https://image.zlmicro.com/images/product/qrcode/8110.png,classic|music|shake|intera|heating|finger|video|game|explore,2.4G,8,No,0-255,77 62 4d 53 45,
8112,8112,AAFJ105,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250306/20250306113100870.jpg,1,https://image.zlmicro.com/images/product/qrcode/8112.png,classic|music|shake|intera|finger|video|game,2.4G,176,No,Estándar,77 62 4d 53 45,
8114,8114,AAQLX003,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20260106/20260106101513114.png,16,https://image.zlmicro.com/images/product/20260105/202601051410567208114.png,classic|music|shake|intera|finger|video|game,2.4G,255,No,0-255,77 62 4d 53 45,
8122,8122,MATD021,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20241008/20241008161751291.png,3,https://image.zlmicro.com/images/product/qrcode/8122.png,classic|music|shake|intera|finger|video|game|explore,2.4G,8,No,0-255,77 62 4d 53 45,
8124,8124,AASJ103,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230712/20230712101148350.png,10,https://image.zlmicro.com/images/product/qrcode/8124.png,classic|music|shake|intera|finger|video|game|explore,2.4G,202,No,0-255,77 62 4d 53 45,
8127,8127,AATD465,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20231202/20231202153011885.png,3,https://image.zlmicro.com/images/product/qrcode/8127.png,classic|music|shake|intera|finger|video|game|explore,2.4G,20,No,0-255,77 62 4d 53 45,
8148,8148,ZASJ030,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,HCTC-SJH011,https://image.zlmicro.com/images/product/20230519/20230519114325370.png,10,https://image.zlmicro.com/images/product/qrcode/8148.png,classic|music|shake|intera|finger|video|game|explore,2.4G,157,No,0-255,77 62 4d 53 45,
8131,8131,YCGS001,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230203/20230203100705391.png,13,https://image.zlmicro.com/images/product/qrcode/8131.png,classic|music|shake|intera|finger|video|game|explore,2.4G,149,No,Estándar,77 62 4d 53 45,
8153,8153,AATD734,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20241213/20241213113841945.png,3,https://image.zlmicro.com/images/product/qrcode/8153.png,classic|music|shake|intera|finger|video|game|explore,2.4G,257,No,Estándar,77 62 4d 53 45,
8129,8129,AASJ077,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230202/20230202093704921.png,10,https://image.zlmicro.com/images/product/qrcode/8129.png,classic|music|shake|intera|finger|video|game|explore,2.4G,0,No,0-255,77 62 4d 53 45,
8144,8144,TD001,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250625/20250625111638817.jpg,3,https://image.zlmicro.com/images/product/20250623/202506231432454398144.png,classic|music|shake|intera|finger|video|game,2.4G,132,No,0-255,77 62 4d 53 45,
8125,8125,AAHT126,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230426/20230426170804578.png,4,https://image.zlmicro.com/images/product/qrcode/8125.png,classic|music|shake|intera|finger|video|game|explore,2.4G,207,No,0-255,77 62 4d 53 45,
8158,8158,AAHT002,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20251117/20251117163911011.jpg,4,https://image.zlmicro.com/images/product/20251117/202511171639148708158.png,classic|music|shake|intera|finger|video|game,2.4G,389,No,0-255,77 62 4d 53 45,
8172,8172,ZAZD005,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230801/20230801163828567.jpg,2,https://image.zlmicro.com/images/product/qrcode/8172.png,classic|music|shake|intera|finger|video|game|customer_game|explore,2.4G,221,No,Estándar,77 62 4d 53 45,
8157,8157,AAHT187,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230829/20230829104414163.png,4,https://image.zlmicro.com/images/product/qrcode/8157.png,classic|music|shake|intera|finger|video|game|explore,2.4G,167,No,0-255,77 62 4d 53 45,
8159,8159,AAHT002,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20260227/20260227173737375.png,4,https://image.zlmicro.com/images/product/20260227/202602271736194718159.png,classic|music|shake|intera|finger|video|game,2.4G,158,No,0-255,77 62 4d 53 45,
8170,8170,ZAYJ030,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240806/20240806154235582.png,8,https://image.zlmicro.com/images/product/qrcode/8170.png,classic|music|shake|intera|finger|video|game|explore,2.4G,221,No,0-255,77 62 4d 53 45,
8154,8154,GS001,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,骑士3号,https://image.zlmicro.com/images/product/20240920/20240920102355033.png,13,https://image.zlmicro.com/images/product/qrcode/8154.png,classic|music|shake|intera|finger|video|game|explore,2.4G,253,No,0-255,77 62 4d 53 45,
8155,8155,AAGS026,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,0067,https://image.zlmicro.com/images/product/20230327/20230327133739797.jpg,13,https://image.zlmicro.com/images/product/qrcode/8155.png,classic|music|shake|intera|finger|video|game|explore,2.4G,0,No,0-255,77 62 4d 53 45,
8182,8182,AATD197,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,186,https://image.zlmicro.com/images/product/20221208/20221208103433221.png,3,https://image.zlmicro.com/images/product/qrcode/8182.png,classic|music|shake|intera|finger|video|game|explore,2.4G,165,No,0-255,77 62 4d 53 45,
8187,8187,AAZD170,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250509/20250509155057123.jpg,2,https://image.zlmicro.com/images/product/20250509/202505091551011238187.png,classic|music|shake|intera|finger|voice|video|game,2.4G,348,No,0-255,77 62 4d 53 45,
8188,8188,AASJ209,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20241028/20241028150156909.jpg,10,https://image.zlmicro.com/images/product/qrcode/8188.png,classic|music|shake|intera|finger|voice|video|game|explore,2.4G,325,No,0-255,77 62 4d 53 45,
8185,8185,ZAHT071,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240814/20240814094356486.png,4,https://image.zlmicro.com/images/product/qrcode/8185.png,classic|music|shake|intera|finger|video|game|explore,2.4G,221,No,Estándar,77 62 4d 53 45,
8190,8190,谦度TD001,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20260310/20260310161458677.jpg,3,https://image.zlmicro.com/images/product/20260120/202601201401479888190.png,classic|music|shake|intera|finger|video|game,2.4G,0,No,0-255,77 62 4d 53 45,
8191,8191,AAZD210,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20251202/20251202103449357.png,2,https://image.zlmicro.com/images/product/20251202/202512021034592058191.png,classic|music|shake|intera|finger|video|game,2.4G,274,No,0-255,77 62 4d 53 45,
8201,8201,ZBTD021,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230728/20230728104807954.png,3,https://image.zlmicro.com/images/product/qrcode/8201.png,classic|music|shake|intera|finger|video|game|explore,2.4G,48,No,0-255,77 62 4d 53 45,
8203,8203,AATD224,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230307/20230307160712575.png,3,https://image.zlmicro.com/images/product/qrcode/8203.png,classic|music|shake|intera|finger|video|game|explore,2.4G,145,No,0-255,77 62 4d 53 45,
8208,8208,LBTYHT001,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20260128/20260128144059083.jpg,4,https://image.zlmicro.com/images/product/20260128/202601281441055228208.png,classic|music|shake|intera|finger|video|game,2.4G,107,No,0-255,77 62 4d 53 45,
8193,8193,BCTD003,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230927/20230927094752875.png,3,https://image.zlmicro.com/images/product/qrcode/8193.png,classic|music|shake|intera|finger|video|game|explore,2.4G,243,No,0-255,77 62 4d 53 45,
8195,8195,EATD007,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,小火箭,https://image.zlmicro.com/images/product/20220110/20220110155651817.png,3,https://image.zlmicro.com/images/product/qrcode/8195.png,classic|music|shake|intera|finger|voice|video|game|explore,2.4G,28,No,0-255,77 62 4d 53 45,
8205,8205,YEHT017,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240119/20240119113714082.png,4,https://image.zlmicro.com/images/product/qrcode/8205.png,classic|music|shake|intera|finger|video|game|explore,2.4G,14,No,0-255,77 62 4d 53 45,
8202,8202,AATD171,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,NBQ-G209,https://image.zlmicro.com/images/product/20230407/20230407163028982.png,3,https://image.zlmicro.com/images/product/qrcode/8202.png,classic|music|shake|intera|finger|video|game|explore,2.4G,93,No,0-255,77 62 4d 53 45,
8214,8214,YEGS005,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20231114/20231114094735414.jpg,13,https://image.zlmicro.com/images/product/qrcode/8214.png,classic|music|shake|intera|finger|video|game|explore,2.4G,14,No,0-255,77 62 4d 53 45,
8211,8211,ZBZD006,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240322/20240322142850294.png,2,https://image.zlmicro.com/images/product/qrcode/8211.png,classic|music|shake|intera|finger|video|game|explore,2.4G,48,No,0-255,77 62 4d 53 45,
